Fajr,6:09 AM,6:30 AM
Sunrise,7:27 AM,
Dhuhr,1:06 PM,1:30 PM
Asr,4:11 PM,4:30 PM
Maghrib,6:42 PM,6:47 PM
Isha,8:01 PM,8:30 PM
