Fajr,5:56 AM,6:15 AM
Sunrise,7:20 AM,
Dhuhr,12:06 PM,12:30 PM
Asr,2:29 PM,2:05 PM
Maghrib,4:49 PM,4:57 PM
Isha,6:13 PM,6:00 PM
